"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank","hard_hit_pct_rank",".groups","poor_loft","loft_cohort","hhla_norm","avg_la_norm","ideal_aa_norm","sweet_spot_norm","angles_score","angles_tier","interaction_cohort","swspt_cohort"
"99",99,"Edwards, Xavier",211,6.7,23.8,38.9,10.4,40.5,87.4,0,2024,"R","Overall","MLB",85.7,39.3,0,0,82,7.5,30.8,"drop",TRUE,"Poor Loft",0.308,0.075,0,0.82,0.40519,"Below Average","Excluded from Analysis","Poor Loft + Good Angles"
"100",100,"Espinal, Santiago",307,15,28.1,36.8,11.4,41,83,0,2024,"R","Overall","MLB",87.5,5,0,0,67.9,63.7,36.8,"drop",TRUE,"Poor Loft",0.368,0.637,0,0.679,0.56251,"Good","Poor Loft + Good Angles","Poor Loft + Good Angles"
"101",101,"Estrada, Thairo",288,10.5,30.2,32.6,10,25.4,87.6,0,2024,"R","Overall","MLB",24.6,41.1,0,0,26.1,27.3,28.1,"drop",FALSE,"Non-Poor Loft",0.281,0.273,0,0.261,0.27156,"Below Average","Excluded from Analysis","Excluded from Analysis"
"102",102,"Fairchild, Stuart",145,20.5,29.1,29.7,16.8,19.6,84.6,0,2024,"R","Overall","MLB",6.3,13,0,0,7.5,94,82.2,"drop",FALSE,"Non-Poor Loft",0.822,0.94,0,0.075,0.60696,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"103",103,"Farmer, Kyle",168,17.9,24.1,38.7,18.3,27.9,89.2,0,2024,"R","Overall","MLB",35.1,63.9,0,0,79.9,83.7,87.5,"drop",FALSE,"Non-Poor Loft",0.875,0.837,0,0.799,0.83662,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"104",104,"Fermin, Freddy",268,11.1,28.9,31,5.7,22,85.5,0,2024,"R","Overall","MLB",12,19.8,0,0,13.3,30.8,6.3,"drop",FALSE,"Non-Poor Loft",0.063,0.308,0,0.133,0.16765,"Below Average","Excluded from Analysis","Excluded from Analysis"
"105",105,"Fitzgerald, Tyler",202,20.2,25.5,42.1,19.8,24.6,85.7,0,2024,"R","Overall","MLB",21.8,21.6,0,0,96,93,92,"drop",FALSE,"Non-Poor Loft",0.92,0.93,0,0.96,0.9369,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"106",106,"Fletcher, Dominic",165,12.1,27.5,40,5.1,36.4,81.3,0,2024,"R","Overall","MLB",70.4,2,0,0,87,37.8,5.5,"drop",TRUE,"Poor Loft",0.055,0.378,0,0.87,0.43869,"Below Average","Excluded from Analysis","Poor Loft + Good Angles"
"107",107,"Flores, Wilmer",186,21.4,29.3,38.2,13.3,20,87.2,0,2024,"R","Overall","MLB",6.8,37.6,0,0,76.9,96.2,53.9,"drop",FALSE,"Non-Poor Loft",0.539,0.962,0,0.769,0.75679,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"108",108,"Fortes, Nick",267,15.4,31.9,30.7,3.3,26,82,0,2024,"R","Overall","MLB",28.6,3,0,0,12,67.7,2.3,"drop",FALSE,"Non-Poor Loft",0.023,0.677,0,0.12,0.2718,"Below Average","Excluded from Analysis","Excluded from Analysis"
